titulo,institución,url_curso,id_curso,reseñas,revisores,fecha_reseñas,valoración
Machine Learning,Stanford University,https://www.coursera.org/learn/machine-learning,machine-learning,"This is an extremely basic course. Machine learning is built on mathematics, yet this course treats mathematics as a mysterious monster to be avoided at all costs, which unfortunately left this student feeling frustrated and patronized. So much time is wasted in the videos with arduous explanations of trivialities, and so little taken up with the imparting of meaningful knowledge, that in the end I abandoned the videos altogether. The quizes were basic (largely based on recall of, rather than application of knowledge), as were the programming assignments (nearly all of which were spoon-fed, with the tasks sometimes being simple as multiplying two matrices together).If you are serious about machine learning and comfortable with mathematics (e.g. elementary linear algebra and probability), do yourself a favour and take Geoff Hinton's Neural Networks course instead, which is far more interesting and doesn't shy away from serious explanations of the mathematics of the underlying models.",By Deleted A,"Mar 18, 2017",1
Indigenous Canada,University of Alberta,https://www.coursera.org/learn/indigenous-canada,indigenous-canada,"There are several reasons why I rated this course as being poor.  First, the presentation style does not make use of the capabilities of the medium, namely a significant (perhaps 70 to 80%) portion of the course is just lecturing.   There are flashes of material on the screen behind the presenter but, most of the time, there is no specific discussion of the picture, diagram or map.   The course would be enhanced significantly by using videos, real interviews (rather than just having the interviewee speak about the topic just like a lecturer), and by really incorporating graphics into the presentation.   My second reason is that the material is presented in a very superficial manner.   I realize that this is an introductory course but the course organizers/presenters need to go in depth into a few of the examples rather than just quickly going over them.    Thirdly, there is very limited resource material given and the access to that material is not very user friendly.    For example, if one wanted to get more information on a  particular treaty, it would be helpful to have the reference to that directly incorporated into the course notes so that one could click on the reference and bring up an article with more details.   ",By Art H,"Nov 21, 2017",1
The Science of Well-Being,Yale University,https://www.coursera.org/learn/the-science-of-well-being,the-science-of-well-being,"The course is mostly about the opinion of the lecturer, which can be summed up to ""social media is bad"" and ""money doesn't make you happy"".  A very simple minded world view is presented, without critical notions challenging that view or the more complex science behind emotions.From Yale I would have expected a course that challenges such simple views and empoweres students to find the ideal path for themselves.",By Julia H,"May 01, 2018",1
Technical Support Fundamentals,Google,https://www.coursera.org/learn/technical-support-fundamentals,technical-support-fundamentals,"Course was good overall. I will not take the time to discuss in detail the information taught; it was delivered well and was valuable. However, after watching many many minutes of these videos, it became really redundant for the first 15 seconds of each video to be an animation reminding me of where I am in the course. This is redundant because it is obvious where you are in the course when you navigate to any video.. in any course. The website displays where you are. I do not feel I need to be reminded with 15-20 seconds of silent animations showing me where I am; I just want the video to start. Secondly, it was really frustrating to be failed on the final writing by my peers for the most heinous complaint. We were directed to describe how to make a peanut butter and jelly sandwich to someone who has never seen one before. Because this is all the information given, I have to assume the user has seen some sand-which; just not a peanut butter and jelly one. I do not feel I should have to teach someone how to open a bag of bread. It should be common knowledge that something has to be opened to get it out. I should not have to teach kitchen etiquette and cleanliness. One user who failed me commented that because I did not direct him to set the bread on to a clean plate... that he was confused; and could have mis understood to the point where he placed the sandwich on the floor. Another user said that I should have described how to hold the knife. He did not know if he should hold it by the sharp end, or the handle. One of those users marked me off for not being concise because it did not use bullet points or numbers and that he was expecting a recipe format. Look! I am not here to suppose a user came out of a cave. When you fail me for these types of issues using this logic; that same logic makes me think I should describe how to make a sandwich by growing your own wheat, making grain, baking bread, growing strawberries to make jelly, etc. But I did not go that far! No... I simply re wrote my project and upload to accommodate these 3 users by including that the bread should be opened, how to hold a a utensil, and I even included images of the sandwich so that the user could check their work as it is assembled to ensure the user could make a sandwich in 14 simple short sentence steps labeled accordingly. Well guess what?! My project was graded by another 3 users who complained that it is common sense how to hold a knife and remove bread from a bag and that I should have given them more credit for having some level of food assembly knowledge and I barely passed. I passed by 1 point. Yah, they almost failed me for being too lengthy. Honestly, I only added 3 or 4 short sentences compared to the original. Being graded by your peers gives too brought of feedback in cases like this. If the last 3 users would have graded by first paper, I would have passed. If the first set of users would have graded by second paper I would have passed. Lastly, I got an email upon completion of the first course that said my certificate was ready to print once I uploaded my photo ID (drivers license) along with a second photo of me for validation. Once I uploaded these 2 images; I got a notice that there was no certificate to be given for this particular course. I would not have shared my personal information with you at this point in time if I knew nothing would be available to print yet. That too was frustrating. ",By Daniel W,"May 23, 2018",1
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,https://www.coursera.org/learn/google-cbrs-cpi-training,google-cbrs-cpi-training,"Pretty dry, but I was able to pass with just two complete watches so I'm happy about that.  As usual there were some questions on the final exam that were NO WHERE in the course, which is annoying but far better than many microsoft tests I have taken.  Never found the suplimental material that the course references... but who cares... i passed!",By Robert S,"Feb 12, 2020",4
Financial Markets,Yale University,https://www.coursera.org/learn/financial-markets-global,financial-markets-global,"This course is virtually worthless. I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades. The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence. The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material. This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch. This was wasted money and time. This attempt to capitalize on the Yale brand is pathetic.    ",By James R,"Apr 23, 2019",1
Introduction to Psychology,Yale University,https://www.coursera.org/learn/introduction-psychology,introduction-psychology,"I am so sorry to say that the ""animation"" makes this course impossible to get through. Imagine your lecturer but without eye contact, without body language or the slow pacing across the front of the room, without the subtle human connection we take for granted. Instead he is replaced by the same 5 drawings repeated ad nauseum against the same stagnant background. Add some literal nausea by slowly zooming in and out for no reason and some obnoxious sound effects to drown out the speaker which in no way improves the his otherwise calm and deliberate lecture style.I've taken a couple classes with Coursera, including a Paul Bloom Course I enjoyed immensely. This the first course I've spent money on. I deeply regret not watching a couple videos before purchasing the course. ",By Jacquelin B,"Dec 10, 2018",1
Programming for Everybody (Getting Started with Python),University of Michigan,https://www.coursera.org/learn/python,python,I did not find this course helpful. The assignments seem to ask for more info that you've been taught in any of the videos. My analogy for the course is this: It's like making a newborn baby watch a video on swimming and then throwing it into the ocean and acting shocked when it doesn't know how to swim. The mentors in the discussion forum are condescending and do not help when you don't understand the terms they are using. I would not recommend this course for beginners.,By Eric V H,"Oct 05, 2017",1
The Bits and Bytes of Computer Networking,Google,https://www.coursera.org/learn/computer-networking,computer-networking,"As a complete and utter beginner to IT, I feel like all of the information presented in this course is in a backward and awkward way. Everything feels so segmented that I'm having a lot of trouble putting it all together in the correct way. There doesn't seem to be a natural flow to any of the lessons and it feels more like a professional stating something than actually teaching it. I've had to completely use outside sources for how to actually do the Peer Review assignment. I feel like all the learning I've done is from hearing about it here and researching it elsewhere.",By Kelley F,"Oct 26, 2018",1
AI For Everyone,DeepLearning.AI,https://www.coursera.org/learn/ai-for-everyone,ai-for-everyone,"Very general, as a large chunck of it could apply with little change to other topics, such as IT in general, management of change etc.in the end, you know quite little, just a thin, very thin layer of knowledge, not even enough for friends discussion.To pay 45$ fo this is realovercharge, for 4 weeks with quite little substance each week.",By Jean-Philippe B,"Aug 27, 2019",1
