titulo,resumen,n_inscritos,tipo_curso,institución,instructores,nivel,tema,idioma,subtítulos,esfuerzo_curso,duración_curso,precio,descripción_curso,temario_curso,url_curso
How to Learn Online,Learn essential strategies for successful online learning,124980,Self-paced on your time,edX,Nina Huntemann-Robyn Belair-Ben Piscopo,Introductory,Education & Teacher Training,English,English,2–3 hours per week,2 Weeks,49,"Designed for those who are new to elearning, this course will prepare you with strategies to be a successful online learner.The edX learning design team has curated some of the most powerful, science-backed techniques which you can start using right away and on any learning platform.The Verified Certificate for this course is free. Use the following coupon code before September 1, 2020 to upgrade at no cost to you: Y5ZADM5NU2AN5JU7This course will help you answer the following questions:","Welcome - We start with opportunities to meet your instructors and fellow learners. Self-care for Learning - In this module, we then explore baseline self-care strategies that will help you maintain a healthy mind for effective online learning, the connections between memory and learning, and the importance of sleep. Space, Time, and Technology - In this module we address the challenges involved with creating a space for learning, including managing your technology. We also cover techniques for time management and keeping a routine. Learning Strategies - This module will help you get the most out your online learning experience. We cover effective study strategies and practices, making plans and setting priorities, and practicing self-regulation skills. Communication and Community - In this module, we talk about the importance of social learning. We cover strategies for communication, collaborating, and building connections with your instructors and fellow learners. What's Next? - Get started learning online!",https://www.edx.org/course/how-to-learn-online
Leading High-Performing Teams,"Learn how to motivate, engage and empower people to build effective and high performing teams.",32847,Self-paced on your time,The University of Queensland,Tyler G. Okimoto,Intermediate,Communication,English,English,8–10 hours per week,10 Weeks,5,"This course will blend business theory and real-world insights to teach you the skills you need to better lead people and teams within your organization. Key topics will include motivation, communication, conflict management, team dynamics, and development of a healthy organizational culture.These “people skills” rank among the most challenging competencies for both novice and experienced leaders. This course will challenge you to understand your followers on a deeper level, as well as help you to reflect and improve on your own leadership practice.The course will draw on knowledge from psychology, human resource management, and organizational behavior, as well as the expertise of the management faculty and the The University of Queensland. Through a series of engaging videos, interviews, written reflections, peer feedback, self-insight activities, and simulations, we unpack the ingredients that are critical for developing more effective people and higher performing teams.","MODULE 1: INTRODUCTION TO TEAMS
Focuses on recognizing the distinction between groups and teams; developing an understanding of your own group/team loyalties and priorities and considering the building blocks for high-performing teams. MODULE 2: MOTIVATING AND ENGAGING PEOPLE
Examines what motivates and engages people at work, developing strategies for improving motivation and engagement in your employees, and what motivates and drives your own behavior. MODULE 3: MANAGING WORK RELATIONSHIPS
Considers the nature of your work relationships, how to develop strategies for strengthening employee trust and attachment to the group, how to manage those particularly difficult people at work, and recognizing the importance of external stakeholder relationships. MODULE 4: LEADING TEAMS FOR EXECUTION
Considers how to recognize the ingredients for team execution, how to identify challenges in team communication and coordination, and how to develop strategies to enhance team communication/coordination. MODULE 5: LEADING TEAMS TO SOLVE PROBLEMS
Focuses on recognizing the value of openness and inclusion for problem solving and creative teams, how to develop better problem solving in your teams - both in execution and in team culture. MODULE 6: WHEN GOOD TEAMS FAIL (PART 1): TOO MUCH CONFLICT!
Examines the causes and consequences of serious and escalating conflict, developing strategies for preventing serious/escalating conflict, and developing competencies for resolving serious conflict. MODULE 7: WHEN GOOD TEAMS FAIL (PART 2): TOO MUCH COHESION!
Enables you to recognize the warning signs that your team is too cohesive and develop strategies for promoting productive conflict in teams. MODULE 8: BRINGING DIVIDED GROUPS TOGETHER
Enables you to recognize patterns and implications of intergroup behavior in your organization, develop strategies for bridging organizational silos and identify the steps for building an inclusive organizational identity. MODULE 9: ORGANIZATIONAL CULTURE
Enables you to identify the impact of organizational culture and its (non) alignment to a broader organizational strategy, and recognize points of potential influence when trying to change organizational culture. MODULE 10: BRINGING IT TOGETHER: ANALYZING AND DEVELOPING YOUR TEAM
Develops skills in recognizing the strengths and weaknesses of your team, critically analyzing the processes affecting team effectiveness, and considering ways to further develop your team for high-performance.",https://www.edx.org/course/leading-high-performing-teams
"Managing Study, Stress and Mental Health at University","Develop a clearer understanding of what mental health is, and learn how best to recognise and respond to mental health concerns, such as negative thoughts and behaviours, in yourself and others.",23061,Self-paced on your time,Curtin University,Ben Milbourn-Craig Thompson-Sonya Girdler-Frank Zimmerman,Introductory,Health & Safety,English,English,1–3 hours per week,2 Weeks,49,"This short course is a German-Australian collaboration developed in response to the growing need to provide students with the knowledge, skills, and understanding to recognise, identify and respond to mental health challenges in themselves and others. The course is primarily for university students and those working in the tertiary education and local community sectors.We are grateful to the following organisations for their contribution to and continued support of this MOOC:In this course, you will:","Module 1: Mental fitnessBy the end of this module, you will be able to:Module 2: Cognitive-behavioural strategies to increase mental fitnessBy the end of this module, you will be able to:",https://www.edx.org/course/managing-study-stress-and-mental-health-at-univers
Six Sigma: Define and Measure,"An introduction to the Six Sigma methodology and the DMAIC cycle for process improvement with a focus on the Define and Measure phases, including basic statistics for understanding sampling plans and calculating process capability.",92411,Self-paced on your time,Technische Universität München,Martin Grunow-Holly Ott,Introductory,Business & Management,English,English,3–4 hours per week,8 Weeks,99,"Understand the background and meaning of Six Sigma and the five steps of the DMAIC process improvement flow: Define, Measure, Analyze, Improve and Control. Discuss what ""Quality"" means and how to identify the Voice of the Customer.You will learn how to set an improvement project goal, calculate process yield, and identify Critical-to-Quality parameters.You will learn how to map a process and to use the necessary statistical techniques to establish the baseline performance of a process and to calculate the process capability.To complement the lectures, we provide interactive exercises, which allow learners to see the statistics ""in action."" Learners then master the statistical concepts by completing practice problems. These are then reinforced using interactive case studies, which illustrate the application of the statistics in quality improvement situations.Upon successful completion of this program, learners will earn the TUM Lean and Six Sigma Yellow Belt certification, confirming mastery of Lean Six Sigma fundamentals to a Green Belt level. The material is based on the American Society for Quality (www.asq.org) Body of Knowledge up to a Green Belt Level. The Professional Certificate is designed as preparation for a Lean Six Sigma Green Belt exam.","Week 1: Six Sigma Introduction
Introduction to the Six Sigma Methodology and the DMAIC process improvement cycle. Understand the contributors to the cost of quality. Discuss the difference between defects and defectives in a process and how to calculate process yield, including a comparison of processes of different complexity using the metric DPMO.Week 2: DEFINE - Defining the Problem
Discuss how to understand customer expectations, using the Kano Model to categorize quality characteristics. Start the first and difficult task of a Six Sigma project, Defining the Problem, and review the key content in a Project Charter.Week 3: MEASURE - Statistics Review
Review of random variables and probability distributions used commonly in quality engineering, such as Binomial, Poisson, and Exponential. Cover descriptive statistics, emphasizing the importance of clearly communicating the results of your project.Week 4: MEASURE - Normal Distribution
Learn the characteristics of the Normal Distribution and how to use the Standard Normal to calculate probabilities related to normally distributed variables. Cover the Central Limit Theorem, and how it relates to sampling theory.Week 5: MEASURE - Process Mapping
Introduce Process Mapping, including SIPOC and Value Stream Mapping. We identify the Critical-to-Quality characteristic for a Six Sigma projectWeek 6: MEASURE - Measurement System Analysis
Learn the basics of Measurement Theory and Sampling Plans, including
Precision, Accuracy, Linearity, Bias, Stability, Gage Repeatability & ReproducibilityWeek 7: MEASURE - Process Capability
Introduction to Process Capability and the metrics CP/CPK for establishing our baseline process performance.Week 8: Quality Topics and Course Summary Cover the basics of Tolerance Design and the risk assessment tool failure Mode and Effects Analysis (FMEA).
Review the complete Six Sigma Roadmap before summarizing and closing the course. ",https://www.edx.org/course/six-sigma-define-and-measure
Fat Chance: Probability from the Ground Up,Increase your quantitative reasoning skills through a deeper understanding of probability and statistics.,66835,Self-paced on your time,Harvard University,Benedict Gross-Joseph Harris-Emily Riehl,Introductory,Math,English,English,3–5 hours per week,7 Weeks,49,"Created specifically for those who are new to the study of probability, or for those who are seeking an approachable review of core concepts prior to enrolling in a college-level statistics course, Fat Chance prioritizes the development of a mathematical mode of thought over rote memorization of terms and formulae. Through highly visual lessons and guided practice, this course explores the quantitative reasoning behind probability and the cumulative nature of mathematics by tracing probability and statistics back to a foundation in the principles of counting. In Modules 1 and 2, you will be introduced to basic counting skills that you will build upon throughout the course. In Module 3, you will apply those skills to simple problems in probability. In Modules 4 through 6, you will explore how those ideas and techniques can be adapted to answer a greater range of probability problems. Lastly, in Module 7, you will be introduced to statistics through the notion of expected value, variance, and the normal distribution. You will see how to use these ideas to approximate probabilities in situations where it is difficult to calculate their exact values.",1 Basic Counting2 Advanced Counting3 Basic Probability4 Expected Value5 Conditional Probability6 Bernoulli Trials7 The Normal Distribution,https://www.edx.org/course/fat-chance-probability-from-the-ground-up-2
Chasing your Dream: How to End Procrastination and Get a Job You Love,"According to the old saying, ""Choose a job you love, and you will never have to work a day in your life."" This courseis geared toward helping you find real purpose in your work and becoming the best version of yourself.",44711,Self-paced on your time,National Research Nuclear University,Pavel Kochkin,Introductory,Communication,English,English,2–6 hours per week,5 Weeks,49,"Do you love your job, do you wake up every morning all eager about it? Are you ready to do what you have chosen for the rest of your life? When you are off the chosen track, are you impatient to snap into action immediately to start working more effectively and overcome the difficulties? Is your life full of purpose, are you of any use to other people? If your answer to all the above questions is ""Yes"" then congratulations, you're doing great! However, most people share at least some level of insecurity about their work and their future. If that sounds more like you, here's a follow-up question: have you done anything to change it? Or are you planning to put up with that for the time being? This course is for those who may feel a little stuck in their careers. It draws from academic teachings in motivation and positive psychology from universities like Harvard andMoscow State University and combines those with cultural studies from Tibet. You'll learn how to resist procrastination and engage a process of self-determination. You'll find ways to contend with the ""bumps"" that prevent us from moving in the direction. This course can't promise a magic pill, butit will offer the tools for solvingkey problems thatcan hinder self-fulfillment. You willgain the basic skills of self-development, explore some well-considered hypotheses of future development, and build the toolsyou'll need to follow your passion and succeed.","Week 1: Course Review
Introduction to the series of courses ""Chasing your Dream,"" about what awaits you in the first course ""How to StopProcrastinating"". Week 2: Problem #1. How to deal with circumstances?
Focus on decision-making, take on responsibility, stop looking for excuses. Solution of Problem #1 - The 'Take on Responsibility' Tool. Week 3: Problem #2. All against me
Focus on advantages and learn how to concentrate on them and effectively apply them in practice. Learn how to compensate for disadvantages. Solution of Problem #2 - The 'Green Pen' Tool. Week 4: Problem #3: I need guarantees
Focus on how to fight the fear of mistakes and learn to move through discomfort. There are no guarantees, you must act yourself and learn to take on responsibility. Solution of Problem #3 - The 'Cult of Mistakes' Tool. Week 5: Results of the course
What's understood, what's learned, what's next",https://www.edx.org/course/chasing-your-dream-how-to-end-procrastination-and
Ethics in Action,What do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across faiths? And what role do religious communities have to play in building a more just and sustainable world?,6366,Self-paced on your time,SDG Academy,Dr. William Vendley-Jeffrey D. Sachs,Intermediate,Ethics,English,"English, Español, Русский",2–4 hours per week,10 Weeks,49,"The challenges of sustainable development are more than technical or political--they are also moral, calling on us to examine who we are as human beings, and who we want to be going forward. This examination of what makes a ""good person""--called virtue ethics--has long been the purview of philosophers and theologians. So what do the world's great religious and secular philosophies have to say about ethical conduct? Which virtues are common across creeds and cultures? And what role do ethics, spirituality, and religious communities have to play in sustainable development? In 2016, distinguished leaders from the world's major religious traditions, philosophers, scholars, and scientists were invited by Pope Francis to the Vatican for a series of meetings. Known as the Ethics in Action initiative, these meetings sought to promote dialogue and find consensus about the values needed to advance transformative action for our common home and the human family. This course features Ethics in Action meeting participants, as well as other leading voices, and discusses the perspectives of some of the world's great traditions and their role in addressing our world's most pressing challenges, including poverty, corruption, and climate change. It presents multi-faith cooperation as essential for achieving sustainable development, and calls for the development of a new shared virtue ethics to bring us all into a sustainable and peaceful future. This course is for: ","Module 1: Introduction to Ethics in Action
Chapter 1: Sustainable Development and the Need for Ethics in Action 
Chapter 2: The History of Sustainable Development and the SDGs 
Chapter 3: The Moral and Practical Limits of Global Capitalism
Chapter 4: Moral Teachings and Sustainable Development: An Overview from the World’s Religions Module 2: Religion and Virtue Ethics - Part I
Chapter 1: Lessons from Classical Greece
Chapter 2: Lessons from Classical China 
Chapter 3: A Hindu Perspective 
Chapter 4: A Buddhist Perspective Module 3: Religion and Virtue Ethics - Part II
Chapter 1: A Jewish Perspective 
Chapter 2: A Catholic Perspective 
Chapter 3: A Protestant Evangelical Perspective 
Chapter 4: An Islamic Perspective
Chapter 5: An Indigenous Perspective Module 4: The Virtuous Society
Chapter 1: Virtue Ethics as a Multi-Religious Consensus
Chapter 2: Inquiry and Moral Reasoning 
Chapter 3: Spirituality and the Common Good 
Chapter 4: Virtue Ethics and Science 
Chapter 5. Gender Equality: A Confucian Perspective Module 5: Poverty and Inequality
Chapter 1: The Challenge of Global Poverty 
Chapter 2: The Rights to Health, Education, and Decent Work
Chapter 3: Christian Social Teachings on Poverty
Chapter 4: Ethical Conduct Towards the Vulnerable
Chapter 5: Ethical Actions to End Poverty Module 6: Peace
Chapter 1: The State of Conflict around the World
Chapter 2: Barriers to Lasting Peace among and within Nations 
Chapter 3: Tenets of Peace of the World’s Religions 
Chapter 4: Religion and Peacebuilding 
Chapter 5: Actions for a Lasting Peace: Lessons from Syria Module 7: Refugees, Trafficking, and Modern Slavery
Chapter 1: Drivers of Migration, Human Trafficking, and Modern 
Chapter 2: The Ethics of Migration and Refugees
Chapter 3: The Ethics of Modern Slavery and Trafficking 
Chapter 4: Political and Social Responses to Forced Migration Module 8: Environmental Justice
Chapter 1: Environmental Perils Facing the Planet 
Chapter 2: A Hindu Approach to Environmental Care 
Chapter 3: Laudato Si’ and Climate Justice 
Chapter 4: The Rights of Indigenous Populations 
Chapter 5: Defending our Common Home: Global and Local Actions Module 9: Politics and Power
Chapter 1: Politics, Power, and the Common Good 
Chapter 2: The Moral Underpinnings of Statecraft
Chapter 3: Ethics and the International Political Order 
Chapter 4: Corruption and Politics Today Module 10: Business, Work, and the Common Good
Chapter 1: The Moral Basis for Business Activity 
Chapter 2: Corruption and Global Business
Chapter 3: Technology and the Dignity of Work 
Chapter 4: Business Leadership for Community Well-being Course Conclusion: Towards a New Virtue Ethics for Sustainable DevelopmentExamining Ethics in Action: Case Studies",https://www.edx.org/course/ethics-in-action
Introduction to FinTech,"Learn from leading academics and practitioners from around the world about the innovations, technology and regulation driving the transformation of finance.",72767,Self-paced on your time,University of Hong Kong,Douglas Arner-Janos Barberis-Huy Nguyen Trieu-Ross Buckley,Introductory,Economics & Finance,English,"English, 中文, 中文",1–3 hours per week,6 Weeks,199," Over the past decade emerging technologies, paired with massive changes in regulations, have driven an unprecedented transformation of finance around the world. This process is happening more rapidly in China and Asia than anywhere else. This course is designed to explore FinTech fundamentals and help make sense of this wave of change as it happens.New players such as start-ups and technology firms are challenging traditional players in finance, bringing democratization, inclusion and disruption. Companies engaged in social media, e-commerce, and telecommunications, as well as, companies and start-ups with large customer data pools, creative energies, and technical capacities, have brought competition to the existing financial infrastructure and are remaking the industry.These transformations have not only created challenges but also unprecedented opportunities, building synergies with new business and regulatory models, particularly in emerging markets and developing countries. To meet these changes, 21st-century professionals and students must be equipped with up-to-date knowledge of the industry and its incredible evolution. This course - designed by HKU with the support of SuperCharger and the Centre for Finance, Technology and Education - is designed to enable learners with the necessary tools to understand the complex interaction of finance, technology and regulation.In this course, through a series of video lectures, case studies, and assessments you will explore the major areas of FinTech including, beginning with What is FinTech before turning to Money, Payment and Emerging Technologies, Digital Finance and Alternative Finance, FinTech Regulation and RegTech, Data and Security, and the Future of Data Driven Finance, as well as, the core technologies driving FinTech including Blockchain, AI and Big Data. These will set the stage for understanding the FinTech landscape and ecosystem and grappling with the potential direction of future change.****","Module 1 What is FinTech?Module 2 Payments, Cryptocurrencies and BlockchainModule 3 Digital Finance and Alternative FinanceModule 4 FinTech Regulation and RegTechModule 5 Data & TechFinModule 6 The Future of Data-Driven Finance",https://www.edx.org/course/introduction-to-fintech
Python Basics for Data Science,"This Python course provides a beginner-friendly introduction to Python for Data Science. Practice through lab exercises, and you'll be ready to create your first Python scripts on your own!",228809,Self-paced on your time,IBM,Joseph Santarcangelo,Introductory,Data Analysis & Statistics,English,English,2–5 hours per week,5 Weeks,39,"Kickstart your learning of Python for data science, as well as programming in general with this introduction to Python course. This beginner-friendly Python course will quickly take you from zero to programming in Python in a matter of hours and give you a taste of how to start working with data in Python. ~~~~Upon its completion, you'll be able to write your own Python scripts and perform basic hands-on data analysis using our Jupyter-based lab environment. If you want to learn Python from scratch, this course is for you.You can start creating your own data science projects and collaborating with other data scientists using IBM Watson Studio. When you sign up, you will receive free access to Watson Studio. Start now and take advantage of this platform and learn the basics of programming, machine learning, and data visualization with this introductory course.The objectives of this course is to get you started with Python as the programming language and give you a taste of how to start working with data in Python.In this course you will learn about:","Module 1 - Python Basics
Your first program
Types
Expressions and Variables
String Operations Module 2 - Python Data Structures
Lists and Tuples
Sets
Dictionaries Module 3 - Python Programming Fundamentals
Conditions and Branching
Loops
Functions
Objects and Classes Module 4 - Working with Data in Python
Reading files with open
Writing files with open
Loading data with Pandas
Working with and Saving data with Pandas Module 5 - Working with Numpy Arrays
Numpy 1d Arrays
Numpy 2d Arrays",https://www.edx.org/course/python-basics-for-data-science
The Science of Beer,"Are you interested in more than just the taste of beer? Discover what's in your beer, howit's made and marketed and the effectit hason your body and health.",39085,Self-paced on your time,Wageningen University & Research,Sander Breevaart-Florence Scherer-Nico van der Veen-Esther Kunst,Introductory,Food & Nutrition,English,English,2–4 hours per week,6 Weeks,49," Have you ever taken a sip of beer and wondered why it tastes a certain way or what effect the alcohol has on your body?In this course, you will learn all about beer, including how it's made, the raw materials used, it's supply chain, how it's marketed and the effect of beer consumption on your body.After this course, tasting a beer will be an entirely new sensation: you will enjoy it even more since you will better understand what's inside your drink. Not to mention, to be a responsible drinker it is important to know what effects beer has on your health. You will gain a natural view on this, allowing you to form your own well-grounded opinion.This MOOC is developed by students of Wageningen University & Research in honour of the 100 year anniversary of the university. The students have received guidance from professors and experts in the field of food production, health risks, marketing, logistics and sustainable supply chains to ensure a high-quality learning experience for everyone. In this MOOC your teachers will truly be your peers!So, are you interested in the science behind your beer? Register for this course now!","Module 1: Production of Beer In this two-week module you will learn everything about the production process of beer. You will explore different beer styles, be confronted with quality issues and make choices on beer logistics. ** Module 2: Raw materials of beer and cultivation practicesYou will deepen your understanding on the raw materials of beer. You will find out how their cultivation and the environment influence each other.Module 3: Marketing of beer and cultural effectsYou will explore how beers are marketed. After thismodule you will see through the marketing tricks that marketers use, and have knowledge of its impact on the image and culture of beer.
Module 4: Consumption of beer and health effects
** In this week you will follow the pathway that beer takes after it is consumed. You will form your own opinion on responsible drinking, by comparing both positive and negative effects on the human health.",https://www.edx.org/course/the-science-of-beer
